word,category,is_oov,notes,source
अग्ला,CM,False,IV control word — all bigrams in training vocab,iv_sample
प्रवाह,CM,False,IV control word — all bigrams in training vocab,iv_sample
साल्ट,CM,False,IV control word — all bigrams in training vocab,iv_sample
हुुनुअघि,CM,False,IV control word — all bigrams in training vocab,iv_sample
संलग्नक,CM,False,IV control word — all bigrams in training vocab,iv_sample
भोकमरी,CM,False,IV control word — all bigrams in training vocab,iv_sample
लिएपछि,CM,False,IV control word — all bigrams in training vocab,iv_sample
नीर,CM,False,IV control word — all bigrams in training vocab,iv_sample
मिली,CM,False,IV control word — all bigrams in training vocab,iv_sample
लेन,CM,False,IV control word — all bigrams in training vocab,iv_sample
नरक,CM,False,IV control word — all bigrams in training vocab,iv_sample
परराष्ट्रसचिव,CM,False,IV control word — all bigrams in training vocab,iv_sample
चोटिको,CM,False,IV control word — all bigrams in training vocab,iv_sample
ट्यूबवेल,CM,False,IV control word — all bigrams in training vocab,iv_sample
पाइनुका,CM,False,IV control word — all bigrams in training vocab,iv_sample
ब्यक्तिप्रति,CM,False,IV control word — all bigrams in training vocab,iv_sample
प्रभाषको,CM,False,IV control word — all bigrams in training vocab,iv_sample
समुदायका,CM,False,IV control word — all bigrams in training vocab,iv_sample
यौनांगमा,CM,False,IV control word — all bigrams in training vocab,iv_sample
नचलेको,CM,False,IV control word — all bigrams in training vocab,iv_sample
पुलिसकी,CM,False,IV control word — all bigrams in training vocab,iv_sample
नपुग्दै,CM,False,IV control word — all bigrams in training vocab,iv_sample
हिड्छे,CM,False,IV control word — all bigrams in training vocab,iv_sample
आँशुका,CM,False,IV control word — all bigrams in training vocab,iv_sample
जनाएकोछ,CM,False,IV control word — all bigrams in training vocab,iv_sample
अटोग्राफ,CM,False,IV control word — all bigrams in training vocab,iv_sample
संसोधित,CM,False,IV control word — all bigrams in training vocab,iv_sample
चारको,CM,False,IV control word — all bigrams in training vocab,iv_sample
अध्ययनशील,CM,False,IV control word — all bigrams in training vocab,iv_sample
साटिएको,CM,False,IV control word — all bigrams in training vocab,iv_sample
अग्रवालका,CM,False,IV control word — all bigrams in training vocab,iv_sample
जोनीको,CM,False,IV control word — all bigrams in training vocab,iv_sample
उपरीक्षकसहित,CM,False,IV control word — all bigrams in training vocab,iv_sample
थाह,CM,False,IV control word — all bigrams in training vocab,iv_sample
निर्माणस्थलमै,CM,False,IV control word — all bigrams in training vocab,iv_sample
बागबजारमा,CM,False,IV control word — all bigrams in training vocab,iv_sample
व्यक्तिहरूले,CM,False,IV control word — all bigrams in training vocab,iv_sample
कानूनतः,CM,False,IV control word — all bigrams in training vocab,iv_sample
रकमका,CM,False,IV control word — all bigrams in training vocab,iv_sample
धाराको,CM,False,IV control word — all bigrams in training vocab,iv_sample
प्रतिस्पर्धी,CM,False,IV control word — all bigrams in training vocab,iv_sample
इन्ड,CM,False,IV control word — all bigrams in training vocab,iv_sample
मण्डपमा,CM,False,IV control word — all bigrams in training vocab,iv_sample
उन्मूलन,CM,False,IV control word — all bigrams in training vocab,iv_sample
ढले,CM,False,IV control word — all bigrams in training vocab,iv_sample
शंकाले,CM,False,IV control word — all bigrams in training vocab,iv_sample
गर्भधारणका,CM,False,IV control word — all bigrams in training vocab,iv_sample
पाउनसक्ने,CM,False,IV control word — all bigrams in training vocab,iv_sample
पटानीले,CM,False,IV control word — all bigrams in training vocab,iv_sample
रसेल,CM,False,IV control word — all bigrams in training vocab,iv_sample
कमलाकुमारी,CM,False,IV control word — all bigrams in training vocab,iv_sample
भोलीबाट,CM,False,IV control word — all bigrams in training vocab,iv_sample
लागेको,CM,False,IV control word — all bigrams in training vocab,iv_sample
ब्युँतिने,CM,False,IV control word — all bigrams in training vocab,iv_sample
सुकन्या,CM,False,IV control word — all bigrams in training vocab,iv_sample
प्रोग्रामर,CM,False,IV control word — all bigrams in training vocab,iv_sample
बताईन,CM,False,IV control word — all bigrams in training vocab,iv_sample
अल्बर्टीले,CM,False,IV control word — all bigrams in training vocab,iv_sample
पूर्वका,CM,False,IV control word — all bigrams in training vocab,iv_sample
रुसमा,CM,False,IV control word — all bigrams in training vocab,iv_sample
उपचारले,CM,False,IV control word — all bigrams in training vocab,iv_sample
साताजति,CM,False,IV control word — all bigrams in training vocab,iv_sample
जलप्रलयले,CM,False,IV control word — all bigrams in training vocab,iv_sample
जक्सन,CM,False,IV control word — all bigrams in training vocab,iv_sample
प्रतिनिधिहरु,CM,False,IV control word — all bigrams in training vocab,iv_sample
भुट्टोको,CM,False,IV control word — all bigrams in training vocab,iv_sample
पुस्तकहरूमा,CM,False,IV control word — all bigrams in training vocab,iv_sample
र्तिन,CM,False,IV control word — all bigrams in training vocab,iv_sample
