word,category,is_oov,notes,source
वासीनेपालीहरुलाई,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीहरुकोलागि,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकहरुको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकरहरुलाई,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगंज,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकलाई,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकिङ,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालबिरुद्ध,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकमा,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीहरूले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालसँगको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
राष्ट्रबैंक,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकर,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकहरूलाई,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगन्जदेखि,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
माइक्रोफाइनान्स,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकिङ्गबाट,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीद्वारा,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
स्कटनेपाल,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालका,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकिङको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बनेपालीलाई,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपाल्स,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालआजको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
ग्रुपले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बनेपाले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालकै,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगञ्ज,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगंजमा,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीहरुले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीहरू,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
लिमिटेडको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगञ्जको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
रनेपालमा,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकहरुमा,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीज्यू,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालभित्र,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकहरुले,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालसंगको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालीसंग,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
नेपालगञ्जबाट,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकहरूको,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
बैंकक,CMPY,False,IV control word — all bigrams in training vocab,iv_sample
