word,corpus_freq,n_missing,missing_bigrams
िभ्लनष्लभभचष्लन,2,2,चष भभ
िःगलष्अष्उबष्तिथ,2,2,ःग बष
ऋयचचभकउयलमभलत,2,3,उय ऋय कउ
छुटृाछुटैृ,2,3,टृ ृा ैृ
यूथफोरम,2,2,थफ ूथ
हफ्ता,112,1,हफ
हफिजले,41,1,हफ
समृध्द,32,1,ृध
पितृधनको,27,1,ृध
महफ्वपूर्ण,27,1,हफ
यज्ञोपवितधारण,5,2,ञो तध
नोंगखघईमा,2,3,खघ गख घई
घोढचढी,3,2,ढच ोढ
छुटृाछुटृै,5,3,टृ ृा ृै
बॉयफ्रेंड,2,2,यफ ॉय
करोढभन्दा,2,2,ढभ ोढ
च्भकउयलकभ,2,2,उय कउ
सटृा,39,2,टृ ृा
रबीऊल,3,2,ऊल ीऊ
बीऊलाई,2,2,ऊल ीऊ
झयांई,2,2,ंई झय
अउङले,2,2,अउ उङ
शाश्वतधाम,41,1,तध
हातधुने,34,1,तध
आमउपभोक्तालाई,27,1,मउ
आमउपभोक्ता,24,1,मउ
आमउपभोक्ताले,23,1,मउ
भाग्यफल,55,1,यफ
यफ,37,1,यफ
ऋयउथ,2,2,ऋय यउ
जःतै,2,2,ःत जः
अइयाऽऽऽऽऽऽ,2,2,अइ ऽऽ
करोढ,38,1,ोढ
लाभभन्दा,26,1,भभ
अर्धचेत,205,1,धच
बुद्धचोकमा,47,1,धच
बुद्धचोक,46,1,धच
जिल्ऽ्ल्ऽामा,2,3,ऽा ऽ् ्ऽ
जिल्ऽ्ल्ऽा,2,3,ऽा ऽ् ्ऽ
ग़ज़ल,13,3,ग़ ़ज ़ल
वफादार,518,1,वफ
वफादारी,64,1,वफ
बषिर्य,44,1,बष
बषिर्या,16,1,बष
जावफ,15,1,वफ
निरौल्ऽाको,2,2,ऽा ्ऽ
सोरठी,157,1,रठ
मेरठ,46,1,रठ
मध्यपुरठिमी,27,1,रठ
निर्णयउपर,24,1,यउ
विजयउत्सव,14,1,यउ
केन्ऽका,9,2,ऽक ्ऽ
केन्ऽको,9,2,ऽक ्ऽ
केन्ऽबाट,4,2,ऽब ्ऽ
चन्ऽबाबु,2,2,ऽब ्ऽ
खगेन्ऽबहादुर,2,2,ऽब ्ऽ
साल्ऽको,2,2,ऽक ्ऽ
संर्घष,262,1,घष
यूथ,177,1,ूथ
रूथ,116,1,ूथ
सर्घष,55,1,घष
संर्घष्ा,51,1,घष
छउञ्जेल,29,2,उञ छउ
ग़लत,15,2,ग़ ़ल
केन्ऽीय,13,2,ऽी ्ऽ
मन्थल्ऽी,3,2,ऽी ्ऽ
मन्थल्ऽीमा,2,2,ऽी ्ऽ
मुग़ल,2,2,ग़ ़ल
ओदान,19,1,ओद
ओद्योगिक,18,1,ओद
ओदालीमा,11,1,ओद
गाँऊपालिका,8,2,ँऊ ऊप
केन्ऽले,6,2,ऽल ्ऽ
नसंफाःगु,4,2,ंफ ःग
सऊल,4,2,ऊल सऊ
अइठन,3,2,अइ इठ
कार्याल्ऽय,3,2,ऽय ्ऽ
केन्ऽिय,2,2,ऽि ्ऽ
दोल्ऽखा,2,2,ऽख ्ऽ
बल्ऽत्कार,2,2,ऽत ्ऽ
दोल्ऽखाको,2,2,ऽख ्ऽ
इन्ऽेणी,2,2,ऽे ्ऽ
केन्ऽित,2,2,ऽि ्ऽ
प्रहरील्ऽे,2,2,ऽे ्ऽ
अवल्ऽोकन,2,2,ऽो ्ऽ
गाँऊपालिकाले,2,2,ँऊ ऊप
महेन्ऽले,2,2,ऽल ्ऽ
केन्ऽमा,9,2,ऽम ्ऽ
सोल्ऽुखुम्बु,2,2,ऽु ्ऽ
छबिन्ऽविक्रम,2,2,ऽव ्ऽ
एसएल्ऽसी,2,2,ऽस ्ऽ
रंगखबर,134,1,गख
बेगखोला,89,1,गख
आंफ़ैले,2,2,ंफ ़ै
पढ़न,16,1,़न
अमेज़न,16,1,़न
आफ़नो,11,1,़न
आअइक्यू,2,2,अइ आअ
अर्को्तिर,39,1,ो्
गर्यो्,28,1,ो्
पर्यो्,19,1,ो्
ल्यएको,20,1,यए
मध्यएसिया,12,1,यए
ल्यएर,11,1,यए
लालपटृीका,10,2,टृ ृी
कटृी,8,2,टृ ृी
भुटृी,2,2,टृ ृी
लाउञ्ज,67,1,उञ
लाउञ्जले,44,1,उञ
समाजः,34,1,जः
आजः,25,1,जः
छुटृै,20,2,टृ ृै
छिटृै,3,2,टृ ृै
अर्कोतर्फअन्तर्ज्ञनको,2,2,ञन फअ
ठाँऊहरु,2,2,ँऊ ऊह
जथउयअचष्तभ,2,3,उय चष थउ
झयाल,49,1,झय
झयालबाट,27,1,झय
लागउने,20,1,गउ
लागउन,16,1,गउ
बीऊहरू,15,2,ऊह ीऊ
गउको,12,1,गउ
क्षःभ्,2,2,ःभ षः
ङ्याङङुङ,2,2,ङङ ङु
घोसणा,105,1,सण
सण्डे,47,1,सण
भासण,46,1,सण
वार्षिकउत्सव,34,1,कउ
शफथ,4,2,फथ शफ
भ्हउयचत,2,2,उय हउ
दासढुंगा,189,1,सढ
दासढुंगामा,160,1,सढ
दासढुङ्गा,53,1,सढ
दिवङ्गत,388,1,वङ
सिंढी,78,1,ंढ
बठ्याइँ,39,1,बठ
पिंढी,37,1,ंढ
सांढे,36,1,ंढ
वङ,14,1,वङ
बठेइ,13,1,बठ
वङगलादेश,11,1,वङ
बठे,11,1,बठ
स्पॉट,6,2,पॉ ॉट
करढढा,3,2,ढढ रढ
स्पॉटलाइटमा,2,2,पॉ ॉट
स्पॉटलाइट,2,2,पॉ ॉट
माघभित्र,162,1,घभ
एओसी,84,1,एओ
पार्टर्ीी,75,1,ीी
संघभित्र,62,1,घभ
माघभित्रै,46,1,घभ
एफएओ,43,1,एओ
पार्टर्ीीे,37,1,ीी
सशष्त्र,33,1,शष
जेडएसएल,28,1,डए
विशष,21,1,शष
ओएन्डएम,15,1,डए
एफएओको,13,1,एओ
विशषेज्ञ,13,1,शष
जेडएस,11,1,डए
राजनीीतक,11,1,ीी
आअेको,3,2,अे आअ
आअेँ,3,2,अे आअ
सवोृच्च,2,2,ृच ोृ
सर्वोृच्चमा,2,2,ृच ोृ
तीमधइे,3,2,इे धइ
एःभ्,2,2,ःभ एः
स्थूल,103,1,थू
पॉच,25,2,पॉ ॉच
थूप्रै,16,1,थू
हाछेथूले,13,1,थू
पॉचौ,6,2,पॉ ॉच
पॉचौं,3,2,पॉ ॉच
अौं,102,1,अौ
अौ,67,1,अौ
अौपचारिक,53,1,अौ
फ्रेिंग,36,1,ेि
ब्याकइन्ड,26,1,कइ
लोडसेिडंग,19,1,ेि
सेिडंग,14,1,ेि
टेम्केमैयङु,13,1,ङु
क्रिकइन्फोले,13,1,कइ
घाइेत,11,1,इे
घाइेते,7,1,इे
दुईथरी,192,1,ईथ
दुईथान,74,1,ईथ
ओच्छ्यानमा,69,1,ओच
सम्प्रेशण,52,1,शण
दुईथरि,43,1,ईथ
भण्डारढिकमा,38,1,रढ
भण्डारढिक,35,1,रढ
ओच्छ्यान,32,1,ओच
घोशणा,27,1,शण
सिङो,24,1,ङो
फच्र्यौट,23,1,फच
विश्लेशण,22,1,शण
अउने,22,1,अउ
फच्चे,22,1,फच
ओचा,21,1,ओच
गनेृ,17,1,ेृ
अउडी,12,1,अउ
जवाफचाहिँ,11,1,फच
नेृतत्व,11,1,ेृ
र्आिर्थक,8,2,आि ्आ
नेृत्वमा,6,1,ेृ
औशधि,3,2,औश शध
औशधी,2,2,औश शध
रणउणटका,2,2,णउ णट
ऊप्रति,60,1,ऊप
एकैघरका,46,1,ैघ
जिवछ,38,1,वछ
षट्कोण,33,1,षट
जीवछ,29,1,वछ
आंफै,26,1,ंफ
स्वछन्द,24,1,वछ
उझिन्डो,21,1,उझ
आशफोर्ड,20,1,शफ
आशफोर्डमा,14,1,शफ
सैघा,12,1,ैघ
घरैघरले,11,1,ैघ
षट्चक्रको,11,1,षट
माअेवादी,10,1,अे
च्याउझैं,8,1,उझ
बिउझिँदा,8,1,उझ
प्रषटाईएको,5,1,षट
हराउॅदै,3,2,उॅ ॅद
ःयखझभलत,2,3,ःय खझ झभ
बढाउॅदै,2,2,उॅ ॅद
पउल,96,1,पउ
लोपउन्मुख,41,1,पउ
अपॉइंटमेंट,38,2,पॉ ॉइ
ग़ैर,22,2,ग़ ़ै
पउने,13,1,पउ
ठृ्लो,9,2,ठृ ृ्
विद्आउट,7,1,्आ
ह्याङ्आउट,5,1,्आ
पॉइंट,3,2,पॉ ॉइ
अपॉइंटमेंटको,3,2,पॉ ॉइ
ब्ध्भ्क्इःभ्,2,2,ःभ इः
ठृ्ल्दाजु,2,2,ठृ ृ्
साइडइफेक्ट,68,1,डइ
एैतिहासिक,42,1,एै
माओेवादी,31,1,ओे
ओेली,26,1,ओे
एैन,24,1,एै
लिंक्डइन,19,1,डइ
माओेवादीसँग,13,1,ओे
लिङ्क्डइन,12,1,डइ
एैरीले,10,1,एै
गरिैएको,4,2,िै ैए
धनाढइ्को,3,2,इ् ढइ
जाॅदा,2,2,ाॅ ॅद
आफृ्लाई,2,2,फृ ृ्
गृहषृष्ठ,19,2,षृ हष
दाङः,15,1,ङः
मोरङः,12,1,ङः
पाठइ्पुस्तक,12,2,इ् ठइ
दार्जीलिङः,9,1,ङः
तेसं्रो,7,1,ं्
पाठइ्क्रम,7,2,इ् ठइ
रामं्रो,6,1,ं्
कागं्रेस,5,1,ं्
धौःधौ,3,2,ःध ौः
पाठइ्क्रमको,3,2,इ् ठइ
बढूवा,57,1,ढू
बछौली,43,1,बछ
बढूवाकाे,41,1,ढू
पढून्,31,1,ढू
गर्नेु,21,1,ेु
छ्यासछ्यास्ती,21,1,सछ
बछौलीका,18,1,बछ
बछलाथ्व,18,1,बछ
गर्नेुपर्ने,16,1,ेु
त्यसछि,15,1,सछ
सछ्वान,14,1,सछ
भनेु,6,1,ेु
ज्ञद्धण्,2,2,ञद धण
दिउॅसो,2,2,उॅ ॅस
चउरमा,113,1,चउ
चउर,74,1,चउ
ऋद्धिसिद्धि,25,1,ऋद
उङ,22,1,उङ
ऋद्धि,17,1,ऋद
ऋद्धिबहादुर,16,1,ऋद
हिउङ,14,1,उङ
चउन्न,10,1,चउ
गाउॅमा,8,2,उॅ ॅम
म्भखभयिऊभलत,4,2,ऊभ भख
ठाउॅमा,3,2,उॅ ॅम
बाॅकि,3,2,ाॅ ॅक
उठाउॅंदै,2,2,उॅ ॅं
बताउॅंदै,2,2,उॅ ॅं
आउॅंदो,2,2,उॅ ॅं
ज्ञज्ञछ,2,2,ञछ ञज
बाॅके,2,2,ाॅ ॅक
त्यहाॅका,2,2,ाॅ ॅक
नवीगाउॅमा,2,2,उॅ ॅम
मभखभयिऊभलत,2,2,ऊभ भख
इलेक्ट्रॉनिकी,2,2,रॉ ॉन
न्यूट्रॉन,2,2,रॉ ॉन
घरपझोङ,99,1,पझ
यज्ञनिधिको,87,1,ञन
यज्ञनिधि,74,1,ञन
हषिर्त,58,1,हष
ऊहाँले,48,1,ऊह
ओथारो,40,1,ओथ
छफफल,21,2,छफ फफ
बिचफाँटामा,19,1,चफ
रहष्य,18,1,हष
झ्यापझ्याप,13,1,पझ
बीचफाँटामा,11,1,चफ
ओथेलो,10,1,ओथ
गाउॅपालिका,10,2,उॅ ॅप
म्याचफिक्सिङ,10,1,चफ
सिलिङअनुसार,9,1,ङअ
ओथारा,8,1,ओथ
झ्यापझुप,8,1,पझ
तथ्याङअनुसार,6,1,ङअ
गाउॅपालिकामा,5,2,उॅ ॅप
सुटिङअघि,5,1,ङअ
ऐतिहाॅसिक,3,2,ाॅ ॅस
डाॅडा,3,2,ाॅ ॅड
पाउॅछ,3,2,उॅ ॅछ
बताउॅछन,3,2,उॅ ॅछ
ईतिहाॅसलाई,2,2,ाॅ ॅस
डाॅडामा,2,2,ाॅ ॅड
मनाउॅछन,2,2,उॅ ॅछ
ज्ञज्ञण्,2,2,ञज ञण
छफफलमार्फत,2,2,छफ फफ
घिउलाडाॅडामा,2,2,ाॅ ॅड
गाउॅपालिकाका,2,2,उॅ ॅप
ढज्ञज्ञ,2,2,ञज ढज
गाउॅघरमा,2,2,उॅ ॅघ
छंदा,45,1,छं
छंदै,37,1,छं
छंदैछ,31,1,छं
देहधारण,29,1,हध
देहधारी,26,1,हध
राहधानी,22,1,हध
शत्रुू,22,1,ुू
आछामी,17,1,आछ
जॉन,16,2,जॉ ॉन
आछाम,14,1,आछ
आछुआछु,8,1,आछ
ठुूलो,5,1,ुू
हुूदैन,5,1,ुू
ज्ञज्ञठ,2,2,ञज ञठ
पॉवर,2,2,पॉ ॉव
तपॉई,2,2,पॉ ॉई
ल्ऋब्च्,2,2,ऋब ्ऋ
ठाउॅबाट,2,2,उॅ ॅब
काठमाडौः,107,1,ौः
बाथटबमा,70,1,थट
थट,38,1,थट
बाथटब,23,1,थट
भदौः,20,1,ौः
उशा,16,1,उश
देउशी,12,1,उश
यादृच्छिक,11,1,ृच
उब्जाउशील,10,1,उश
माइक्रोसॉफ्ट,7,2,सॉ ॉफ
स्टेरॉयड,6,2,रॉ ॉय
बीऊविजन,6,2,ऊव ीऊ
सॉफ्टवेर,5,2,सॉ ॉफ
सॉफेबगर,5,2,सॉ ॉफ
साॅघुरो,3,2,ाॅ ॅघ
ल्याउॅने,2,2,उॅ ॅन
भखैृरै,2,2,भख ैृ
नयाॅशक्तिमा,2,2,ाॅ ॅश
रॉयल्टी,2,2,रॉ ॉय
मेषः,118,1,षः
वृषः,95,1,षः
बढछ,93,1,ढछ
प्रायःद्वीपमा,55,1,ःद
भयछ,40,1,यछ
शड्ढया,26,1,शड
शड्ढयाको,25,1,शड
पढछन्,25,1,ढछ
स्मरणीयछ,20,1,यछ
समयछ,20,1,यछ
शड्ढयामा,16,1,शड
पढछु,15,1,ढछ
दुखःद,14,1,ःद
वाटशनले,13,1,टश
फुटशल,12,1,टश
सवस्टशेनमा,9,1,टश
प्रायःद्वीप,8,1,ःद
गफभन्दा,8,1,फभ
जवाफभन्दा,7,1,फभ
सेफभित्र,4,1,फभ
पाॅच,3,2,ाॅ ॅच
बॉडफॉट,2,2,ॉट ॉड
ऋजष्लब,2,2,ऋज जष
च्भखष्भध,2,2,खष भख
ढँगले,56,1,ढँ
नारायणटार,37,1,णट
ढँटुवा,29,1,ढँ
रेणू,19,1,णू
नारायणटारमा,17,1,णट
शुक्राणू,14,1,णू
ढँगबाट,10,1,ढँ
परमाणू,9,1,णू
पाँचधारेबाट,9,1,चध
पाँचधारेले,7,1,चध
पञ्चधुरा,5,1,चध
क्ष्ऋऋ,4,2,ऋऋ ्ऋ
साॅझ,3,2,ाॅ ॅझ
सहइन्चार्ज,192,1,हइ
सहइञ्चार्ज,78,1,हइ
डीएफओ,45,1,फओ
सहइन्चार्जमा,35,1,हइ
ऊंचाई,30,1,ऊं
डिएफओ,26,1,फओ
बिगँ्रदै,25,1,ँ्
युएफओ,20,1,फओ
बिगँ्रदो,11,1,ँ्
आऊछ,11,1,ऊछ
बिगिँ्रदै,9,1,ँ्
हुॅदै,8,2,ुॅ ॅद
गाऊं,7,1,ऊं
ऊंचाईमा,6,1,ऊं
चम्काऊछन,5,1,ऊछ
अ्म्मर,4,1,अ्
हुॅदैन,4,2,ुॅ ॅद
छेऊछाऊमा,4,1,ऊछ
अ्माहा,4,1,अ्
नहुॅदा,3,2,ुॅ ॅद
अ्मर,3,1,अ्
ग्ल्भ्क्ऋइ,3,2,ऋइ ्ऋ
जॉदैछौ,2,2,जॉ ॉद
जॉदा,2,2,जॉ ॉद
जॉदै,2,2,जॉ ॉद
क्ष्ऋइच्,2,2,ऋइ ्ऋ
बौङ्झतक,2,2,झत ौङ
जण्डिस,149,1,जण
टेकओभर,56,1,कओ
झङ्कार,50,1,झङ
वाकओभर,30,1,कओ
जण्डीस,30,1,जण
गणेशधाम,29,1,शध
जण्डिसको,28,1,जण
सॉझ,20,2,सॉ ॉझ
मेकओभर,18,1,कओ
झङ्कृत,17,1,झङ
झङ्कनाथ,16,1,झङ
सामान्यझैँ,14,1,यझ
सामान्यझैं,13,1,यझ
सूर्यझैँ,9,1,यझ
चतेऔ,8,1,ेऔ
कुशेऔंसी,6,1,ेऔ
छ्ट्टिै,6,1,िै
देऔं,6,1,ेऔ
लुंइटेलकाअनुसार,5,1,ंइ
लुंइटेलले,5,1,ंइ
दिंइदै,5,1,ंइ
सॉझमा,4,2,सॉ ॉझ
ःऋएः,3,3,ःऋ ऋए एः
ठङठङ,3,2,ङठ ठङ
काग़ज़ात,2,2,ग़ ़ज
काग़ज़,2,2,ग़ ़ज
घॉटीका,2,2,घॉ ॉट
घॉटी,2,2,घॉ ॉट
वॉट्सएपमा,2,2,वॉ ॉट
ल्ऋँ,2,2,ऋँ ्ऋ
फिरऔन,2,2,औन रऔ
एब्ऋप्द्दछण्,2,2,ऋप ्ऋ
छभने,105,1,छभ
सम्झ्ौता,101,1,्ौ
गाइघाट,72,1,इघ
फखर,63,1,फख
निर्णण,49,1,णण
सङै,45,1,ङै
बाघखोरमा,39,1,घख
अर्घखाँची,32,1,घख
उइघुर,29,1,इघ
युथफोर्स,28,1,थफ
बाघखोर,26,1,घख
फउल,24,1,फउ
हउ,23,1,हउ
गाइघाटमा,23,1,इघ
जञ्जालमा,22,1,जञ
ओषधि,19,1,ओष
ओषधी,18,1,ओष
ढृढ,18,1,ढृ
चापागांईले,18,1,ंई
गछर्ौं,17,1,्ौ
फउ,17,1,फउ
युथफोर्सका,16,1,थफ
जञ्जाल,16,1,जञ
सहउत्पादन,15,1,हउ
हुन्छभने,15,1,छभ
सुढृढ,14,1,ढृ
अझ्ौ,13,1,्ौ
एडजष्ट,12,1,जष
जष्टिन,11,1,जष
बागझोरामा,11,1,गझ
ढृढता,10,1,ढृ
जञ्जिरमा,10,1,जञ
फखरुद्दिन,10,1,फख
फखरले,10,1,फख
छभन्दा,10,1,छभ
ओष्ठ्य,10,1,ओष
गणणा,9,1,णण
फउण्डेशन,7,1,फउ
तपांई,7,1,ंई
नाराणण,5,1,णण
आऽऽऽ,4,2,आऽ ऽऽ
कागझैं,4,1,गझ
मृगझैं,3,1,गझ
आऽऽ,3,2,आऽ ऽऽ
राँऽऽ,2,2,ँऽ ऽऽ
रऽऽ,2,2,रऽ ऽऽ
म्भझभम,2,2,झभ भझ
अँऽऽ,2,2,ँऽ ऽऽ
ःयलभथ,2,2,ःय भथ
एऽऽ,2,2,एऽ ऽऽ
शॉट्स,2,2,शॉ ॉट
पुनःगठन,74,1,ःग
थिएः,71,1,एः
अभिलेखअनुसार,59,1,खअ
अदुअआ,58,1,अआ
बुझएको,50,1,झए
सैफअली,50,1,फअ
थए,42,1,थए
सैफअलि,29,1,फअ
बुझएका,25,1,झए
साउथएशियन,21,1,थए
कतिपए,16,1,पए
सौफ,15,1,ौफ
साउथएशिया,14,1,थए
अदुअआले,14,1,अआ
पएको,13,1,पए
प्रमुखअतिथि,13,1,खअ
वझा,13,1,वझ
बुझए,12,1,झए
अदुअआको,12,1,अआ
सष्ट्रा,11,1,सष
वझाङ,11,1,वझ
वैशाखअगावै,9,1,खअ
रुपए,8,1,पए
वझाले,7,1,वझ
सष्टा,7,1,सष
ठोक्ंिकदा,6,1,ंि
सष्टेनेवल,5,1,सष
लैंिगक,5,1,ंि
बौफिन,5,1,ौफ
चौफा,4,1,ौफ
बैंिकङ्ग,4,1,ंि
मॉनसून,4,2,मॉ ॉन
य़ूटुबमा,3,2,य़ ़ू
य़ूटूब,3,2,य़ ़ू
मॉनबहरु,2,2,मॉ ॉन
यीऽऽ,2,2,ऽऽ ीऽ
हरिनारायणऽऽऽ,2,2,णऽ ऽऽ
उऽऽऽ,2,2,उऽ ऽऽ
ढॉट्यो,2,2,ढॉ ॉट
च्भत्रगष्चझभलतक,2,2,चझ झभ
ओइऽऽऽ,2,2,इऽ ऽऽ
ऐया,116,1,ऐय
एफफाइभ,70,1,फफ
जेडआर,46,1,डआ
दक्षिणएशियामा,44,1,णए
ऐयरले,33,1,ऐय
दक्षिणएशियाको,32,1,णए
रूघाखोकी,27,1,ूघ
विशेषज्ञद्वारा,25,1,ञद
रूघा,24,1,ूघ
छङ,21,1,छङ
विज्ञद्वारा,20,1,ञद
दक्षिणएशिया,20,1,णए
ऐयर,19,1,ऐय
रामऔतार,14,2,औत मऔ
वाउछङ्सा,12,1,छङ
दूघ,11,1,ूघ
स्ट्यान्डआउट,8,1,डआ
स्टैंडआउट,6,1,डआ
गदैृछ,3,2,ृछ ैृ
जॉब,2,2,जॉ ॉब
पदैृछु,2,2,ृछ ैृ
साँझतिर,164,1,झत
राष्टिूय,74,1,िू
फेजआउट,50,1,जआ
दैलेखखवर,25,1,खख
अन्तर्राष्टिूय,20,1,िू
सीओओ,17,1,ओओ
हिजआज,16,1,जआ
कोटथर,14,1,टथ
सिओओ,14,1,ओओ
मेटिूक,13,1,िू
कठठा,10,1,ठठ
खखनाको,9,1,खख
ओओता,8,1,ओओ
भट्टथोकमा,8,1,टथ
टथ्र्यो,8,1,टथ
खखनाका,6,1,खख
एजआईजी,5,1,जआ
प्रगङ्झत,5,1,झत
चिठठा,4,1,ठठ
ठठ,4,1,ठठ
घघछ,2,2,घघ घछ
भेडि़हारिमा,2,2,़ह ि़
कथंकदाचित,126,1,थं
बुझइ,72,1,झइ
थिएा,53,1,एा
औशत,51,1,औश
कथं,35,1,थं
बुझइमा,31,1,झइ
कथंकदाचित्,25,1,थं
भएा,20,1,एा
राजइच्छा,20,1,जइ
एफई,17,1,फई
बुझइएको,13,1,झइ
बौछार,12,1,ौछ
रहछन,10,1,हछ
सरसफई,8,1,फई
पाएा,8,1,एा
पइएको,8,1,पइ
वर्षौअघि,8,1,ौअ
तेस्रंो,8,1,ंो
हाम्रंो,7,1,ंो
ुबीु,7,1,ीु
लाहछाप,7,1,हछ
दोस्रंो,7,1,ंो
नेवाःताम्सालिङ,7,1,ःत
न्यौछावर,7,1,ौछ
दःतुर,6,1,ःत
रहछ,6,1,हछ
रुपइडिहा,6,1,पइ
अर्घौअर्चलेमा,5,1,ौअ
गॉउमा,5,2,गॉ ॉउ
पइन्ट,5,1,पइ
जइर,5,1,जइ
चौअनियाँ,5,1,ौअ
कौछे,5,1,ौछ
चॉडो,5,2,चॉ ॉड
टॉयलेट,5,2,टॉ ॉय
युएफईएमईएस,5,1,फई
छउँञ्जेल,5,2,ँञ छउ
एभचष्यम,4,1,चष
समःया,4,1,ःय
जइ,4,1,जइ
गॉउपालिकाको,3,2,गॉ ॉउ
मॉडल,3,2,मॉ ॉड
फ्रीु,3,1,ीु
चॉहि,3,2,चॉ ॉह
ओलीु,2,1,ीु
ढॉचामा,2,2,ढॉ ॉच
चॉही,2,2,चॉ ॉह
गॉउपालिकामा,2,2,गॉ ॉउ
उत्तरायणं,206,1,णं
फिरऊनले,91,1,रऊ
फिरऊन,55,1,रऊ
बाउआमा,43,1,उआ
फिरऊनलाई,41,1,रऊ
श्रृँखला,35,1,ृँ
र्झछ,32,1,झछ
तसर्थः,29,1,थः
बाउआमाले,28,1,उआ
औतारी,27,1,औत
पाँचऔंले,25,1,चऔ
बाउआमाको,24,1,उआ
बुझछन्,22,1,झछ
ओँठ,21,1,ओँ
पाँचऔँले,21,1,चऔ
हरिऔन,20,1,औन
ऊजस्तै,19,1,ऊज
वर्षउमेर,19,1,षउ
पाँचऔले,19,1,चऔ
ओङ्दी,19,1,ओङ
औतार,17,1,औत
ओङ्छु,17,1,ओङ
ओङदी,16,1,ओङ
थिए्,16,1,ए्
भैईरहेको,16,1,ैई
ऊजस्तो,14,1,ऊज
अर्थः,14,1,थः
बुझछु,14,1,झछ
बताए्,11,1,ए्
शरणं,11,1,णं
भैई,11,1,ैई
श्रृँखलामा,11,1,ृँ
वर्षउमेरका,10,1,षउ
ओँठमा,10,1,ओँ
पिचईले,10,1,चई
श्रृँखलाबद्ध,10,1,ृँ
हरिऔनमा,9,1,औन
सङठन,9,1,ङठ
भए्,8,1,ए्
ऊजुरी,8,1,ऊज
ठॉउमा,6,2,ठॉ ॉउ
पदार्थः,6,1,थः
निष्कर्षउन्मुख,6,1,षउ
रेष्टुरेँष्ट,6,1,ँष
सङठित,6,1,ङठ
ओँ,5,1,ओँ
कारणं,5,1,णं
औँषधि,5,1,ँष
भैईसकेको,5,1,ैई
एचई,5,1,चई
अईपिओ,5,1,अई
अईरहेको,4,1,अई
अई,4,1,अई
असहिँष्णु,4,1,ँष
ठॉउ,4,2,ठॉ ॉउ
आरएचईएल,4,1,चई
पहुॅचमा,3,2,ुॅ ॅच
दॉनबहरुको,2,2,दॉ ॉन
माझफाँट,52,1,झफ
ऊभन्दा,49,1,ऊभ
आझै,47,1,आझ
आझेलमा,45,1,आझ
शंखघोष,39,1,खघ
कृष्णउदास,32,1,णउ
आझ,27,1,आझ
मृघशिरा,26,2,घश ृघ
भेंडा़हरू,24,1,़ह
रोज़गार,20,1,़ग
माझफाँटमा,17,1,झफ
माझफाल,16,1,झफ
शङ्खघोष,13,1,खघ
चाड़हरू,10,1,़ह
धण्टा,9,1,धण
ऊष्म,9,1,ऊष
भनाइः,8,1,इः
इः,7,1,इः
सदष्य,7,1,दष
