word,corpus_freq,n_missing,missing_bigrams,category,is_oov,keep,noise_flags,notes
एफफाइभ,70,1,['फफ'],PROP,True,True,,
अर्धऔपनिवेशिक,70,1,['धऔ'],PROP,True,True,,
ओच्छ्यानमा,69,1,['ओच'],PROP,True,True,,
अनुरॊध,69,2,"['रॊ', 'ॊध']",PROP,True,True,,
टी़,69,1,['ी़'],PROP,True,True,,
साइडइफेक्ट,68,1,['डइ'],PROP,True,True,,
लाउञ्ज,67,1,['उञ'],PROP,True,True,,
गर्दैे,66,1,['ैे'],PROP,True,True,,
ह्याङओभर,66,1,['ङओ'],PROP,True,True,,
वफादारी,64,1,['वफ'],PROP,True,True,,
फखर,63,1,['फख'],PROP,True,True,,
वर्षछि,63,1,['षछ'],PROP,True,True,,
संघभित्र,62,1,['घभ'],PROP,True,True,,
ऊप्रति,60,1,['ऊप'],PROP,True,True,,
अभिलेखअनुसार,59,1,['खअ'],PROP,True,True,,
हषिर्त,58,1,['हष'],PROP,True,True,,
अदुअआ,58,1,['अआ'],PROP,True,True,,
बढूवा,57,1,['ढू'],PROP,True,True,,
आञ्चलिक,57,1,['आञ'],PROP,True,True,,
ढँगले,56,1,['ढँ'],PROP,True,True,,
टेकओभर,56,1,['कओ'],PROP,True,True,,
भाग्यफल,55,1,['यफ'],PROP,True,True,,
सर्घष,55,1,['घष'],PROP,True,True,,
प्रायःद्वीपमा,55,1,['ःद'],PROP,True,True,,
फिरऊन,55,1,['रऊ'],PROP,True,True,,
माओः,55,1,['ओः'],PROP,True,True,,
कालीञ्चोक,55,1,['ीञ'],PROP,True,True,,
ङइन्द्रप्रसाद,54,1,['ङइ'],PROP,True,True,,
जँहा,53,1,['जँ'],PROP,True,True,,
दासढुङ्गा,53,1,['सढ'],PROP,True,True,,
अौपचारिक,53,1,['अौ'],PROP,True,True,,
थिएा,53,1,['एा'],PROP,True,True,,
सम्प्रेशण,52,1,['शण'],PROP,True,True,,
माझफाँट,52,1,['झफ'],PROP,True,True,,
संर्घष्ा,51,1,['घष'],PROP,True,True,,
औशत,51,1,['औश'],PROP,True,True,,
झङ्कार,50,1,['झङ'],PROP,True,True,,
बुझएको,50,1,['झए'],PROP,True,True,,
सैफअली,50,1,['फअ'],PROP,True,True,,
फेजआउट,50,1,['जआ'],PROP,True,True,,
उठछ,50,1,['ठछ'],PROP,True,True,,
झयाल,49,1,['झय'],PROP,True,True,,
निर्णण,49,1,['णण'],PROP,True,True,,
ऊभन्दा,49,1,['ऊभ'],PROP,True,True,,
ॠषि,49,1,['ॠष'],PROP,True,True,,
ऊहाँले,48,1,['ऊह'],PROP,True,True,,
सण्डे,47,1,['सण'],PROP,True,True,,
आझै,47,1,['आझ'],PROP,True,True,,
बुद्धचोक,46,1,['धच'],PROP,True,True,,
मेरठ,46,1,['रठ'],PROP,True,True,,
भासण,46,1,['सण'],PROP,True,True,,
माघभित्रै,46,1,['घभ'],PROP,True,True,,
एकैघरका,46,1,['ैघ'],PROP,True,True,,
जेडआर,46,1,['डआ'],PROP,True,True,,
छंदा,45,1,['छं'],PROP,True,True,,
डीएफओ,45,1,['फओ'],PROP,True,True,,
सङै,45,1,['ङै'],PROP,True,True,,
आझेलमा,45,1,['आझ'],PROP,True,True,,
बषिर्य,44,1,['बष'],PROP,True,True,,
लाउञ्जले,44,1,['उञ'],PROP,True,True,,
दक्षिणएशियामा,44,1,['णए'],PROP,True,True,,
लगआउट,44,1,['गआ'],PROP,True,True,,
एफएओ,43,1,['एओ'],PROP,True,True,,
दुईथरि,43,1,['ईथ'],PROP,True,True,,
बछौली,43,1,['बछ'],PROP,True,True,,
बाउआमा,43,1,['उआ'],PROP,True,True,,
एैतिहासिक,42,1,['एै'],PROP,True,True,,
हफिजले,41,1,['हफ'],PROP,True,True,,
शाश्वतधाम,41,1,['तध'],PROP,True,True,,
लोपउन्मुख,41,1,['पउ'],PROP,True,True,,
बढूवाकाे,41,1,['ढू'],PROP,True,True,,
फिरऊनलाई,41,1,['रऊ'],PROP,True,True,,
ओथारो,40,1,['ओथ'],PROP,True,True,,
भयछ,40,1,['यछ'],PROP,True,True,,
सटृा,39,2,"['टृ', 'ृा']",PROP,True,True,,
अर्को्तिर,39,1,['ो्'],PROP,True,True,,
बठ्याइँ,39,1,['बठ'],PROP,True,True,,
बाघखोरमा,39,1,['घख'],PROP,True,True,,
शंखघोष,39,1,['खघ'],PROP,True,True,,
ऐेन,39,1,['ऐे'],PROP,True,True,,
ॐकार,39,1,['ॐक'],PROP,True,True,,
करोढ,38,1,['ोढ'],PROP,True,True,,
भण्डारढिकमा,38,1,['रढ'],PROP,True,True,,
जिवछ,38,1,['वछ'],PROP,True,True,,
अपॉइंटमेंट,38,2,"['पॉ', 'ॉइ']",PROP,True,True,,
येस्तई,38,1,['तई'],PROP,True,True,,
कमाइखाने,37,1,['इख'],PROP,True,True,,
पिंढी,37,1,['ंढ'],PROP,True,True,,
पार्टर्ीीे,37,1,['ीी'],PROP,True,True,,
छंदै,37,1,['छं'],PROP,True,True,,
नारायणटार,37,1,['णट'],PROP,True,True,,
यज्ञोपवीत,37,1,['ञो'],PROP,True,True,,
सांढे,36,1,['ंढ'],PROP,True,True,,
फ्रेिंग,36,1,['ेि'],PROP,True,True,,
जनयुद्धदेखि,35,1,['धद'],PROP,True,True,,
भण्डारढिक,35,1,['रढ'],PROP,True,True,,
सहइन्चार्जमा,35,1,['हइ'],PROP,True,True,,
कथं,35,1,['थं'],PROP,True,True,,
श्रृँखला,35,1,['ृँ'],PROP,True,True,,
दर्पणछाया,35,1,['णछ'],PROP,True,True,,
दर्पणछायाँ,35,1,['णछ'],PROP,True,True,,
हातधुने,34,1,['तध'],PROP,True,True,,
समाजः,34,1,['जः'],PROP,True,True,,
वार्षिकउत्सव,34,1,['कउ'],PROP,True,True,,
माइखोलामा,33,1,['इख'],PROP,True,True,,
सशष्त्र,33,1,['शष'],PROP,True,True,,
षट्कोण,33,1,['षट'],PROP,True,True,,
ऐयरले,33,1,['ऐय'],PROP,True,True,,
समृध्द,32,1,['ृध'],PROP,True,True,,
ओच्छ्यान,32,1,['ओच'],PROP,True,True,,
अर्घखाँची,32,1,['घख'],PROP,True,True,,
दक्षिणएशियाको,32,1,['णए'],PROP,True,True,,
र्झछ,32,1,['झछ'],PROP,True,True,,
कृष्णउदास,32,1,['णउ'],PROP,True,True,,
धेरैओटा,32,1,['ैओ'],PROP,True,True,,
माओेवादी,31,1,['ओे'],PROP,True,True,,
पढून्,31,1,['ढू'],PROP,True,True,,
छंदैछ,31,1,['छं'],PROP,True,True,,
बुझइमा,31,1,['झइ'],PROP,True,True,,
टेर्डथाई,31,1,['डथ'],PROP,True,True,,
दःुख,31,1,['ःु'],PROP,True,True,,
धकधई,31,1,['धई'],PROP,True,True,,
नौओटा,31,1,['ौओ'],PROP,True,True,,
आऔं,31,1,['आऔ'],PROP,True,True,,
युद्धदेखि,30,1,['धद'],PROP,True,True,,
ऊंचाई,30,1,['ऊं'],PROP,True,True,,
वाकओभर,30,1,['कओ'],PROP,True,True,,
जण्डीस,30,1,['जण'],PROP,True,True,,
एऊटा,30,2,"['ऊट', 'एऊ']",PROP,True,True,,
भाउअनुसार,30,1,['उअ'],PROP,True,True,,
विथआउट,30,1,['थआ'],PROP,True,True,,
आञ्चलिकता,30,1,['आञ'],PROP,True,True,,
धेरैे,29,1,['ैे'],PROP,True,True,,
छउञ्जेल,29,2,"['उञ', 'छउ']",PROP,True,True,,
जीवछ,29,1,['वछ'],PROP,True,True,,
देहधारण,29,1,['हध'],PROP,True,True,,
ढँटुवा,29,1,['ढँ'],PROP,True,True,,
गणेशधाम,29,1,['शध'],PROP,True,True,,
उइघुर,29,1,['इघ'],PROP,True,True,,
सैफअलि,29,1,['फअ'],PROP,True,True,,
तसर्थः,29,1,['थः'],PROP,True,True,,
सफथ,29,1,['फथ'],PROP,True,True,,
श्रेष्ठः,29,1,['ठः'],PROP,True,True,,
ठँलो,29,1,['ठँ'],PROP,True,True,,
नैे,28,1,['ैे'],PROP,True,True,,
ईङ्गल्याण्ड,28,1,['ईङ'],PROP,True,True,,
गर्यो्,28,1,['ो्'],PROP,True,True,,
जेडएसएल,28,1,['डए'],PROP,True,True,,
जण्डिसको,28,1,['जण'],PROP,True,True,,
युथफोर्स,28,1,['थफ'],PROP,True,True,,
बाउआमाले,28,1,['उआ'],PROP,True,True,,
ठंडा,28,1,['ठं'],PROP,True,True,,
डेढघण्टा,28,1,['ढघ'],PROP,True,True,,
पितृधनको,27,1,['ृध'],PROP,True,True,,
महफ्वपूर्ण,27,1,['हफ'],PROP,True,True,,
आमउपभोक्तालाई,27,1,['मउ'],PROP,True,True,,
मध्यपुरठिमी,27,1,['रठ'],PROP,True,True,,
झयालबाट,27,1,['झय'],PROP,True,True,,
घोशणा,27,1,['शण'],PROP,True,True,,
रूघाखोकी,27,1,['ूघ'],PROP,True,True,,
औतारी,27,1,['औत'],PROP,True,True,,
नारायणथान,27,1,['णथ'],PROP,True,True,,
सयओटा,27,1,['यओ'],PROP,True,True,,
लाभभन्दा,26,1,['भभ'],PROP,True,True,,
ब्याकइन्ड,26,1,['कइ'],PROP,True,True,,
आंफै,26,1,['ंफ'],PROP,True,True,,
ओेली,26,1,['ओे'],PROP,True,True,,
देहधारी,26,1,['हध'],PROP,True,True,,
शड्ढया,26,1,['शड'],PROP,True,True,,
डिएफओ,26,1,['फओ'],PROP,True,True,,
बाघखोर,26,1,['घख'],PROP,True,True,,
मृघशिरा,26,2,"['घश', 'ृघ']",PROP,True,True,,
देशघाती,26,1,['शघ'],PROP,True,True,,
राष्ट्रऋण,26,1,['रऋ'],PROP,True,True,,
आजः,25,1,['जः'],PROP,True,True,,
पॉच,25,2,"['पॉ', 'ॉच']",PROP,True,True,,
ऋद्धिसिद्धि,25,1,['ऋद'],PROP,True,True,,
शड्ढयाको,25,1,['शड'],PROP,True,True,,
पढछन्,25,1,['ढछ'],PROP,True,True,,
बिगँ्रदै,25,1,['ँ्'],PROP,True,True,,
बुझएका,25,1,['झए'],PROP,True,True,,
विशेषज्ञद्वारा,25,1,['ञद'],PROP,True,True,,
दैलेखखवर,25,1,['खख'],PROP,True,True,,
कथंकदाचित्,25,1,['थं'],PROP,True,True,,
पाँचऔंले,25,1,['चऔ'],PROP,True,True,,
टेर्डथाइ,25,1,['डथ'],PROP,True,True,,
ज्ञण्,25,1,['ञण'],PROP,True,True,,
ऋखार,25,1,['ऋख'],PROP,True,True,,
आमउपभोक्ता,24,1,['मउ'],PROP,True,True,,
निर्णयउपर,24,1,['यउ'],PROP,True,True,,
सिङो,24,1,['ङो'],PROP,True,True,,
स्वछन्द,24,1,['वछ'],PROP,True,True,,
एैन,24,1,['एै'],PROP,True,True,,
फउल,24,1,['फउ'],PROP,True,True,,
रूघा,24,1,['ूघ'],PROP,True,True,,
बाउआमाको,24,1,['उआ'],PROP,True,True,,
भेंडा़हरू,24,1,['़ह'],PROP,True,True,,
ऊखु,24,1,['ऊख'],PROP,True,True,,
आमउपभोक्ताले,23,1,['मउ'],PROP,True,True,,
फच्र्यौट,23,1,['फच'],PROP,True,True,,
बाथटब,23,1,['थट'],PROP,True,True,,
गाइघाटमा,23,1,['इघ'],PROP,True,True,,
सौर्यऊर्जा,23,1,['यऊ'],PROP,True,True,,
विश्लेशण,22,1,['शण'],PROP,True,True,,
अउने,22,1,['अउ'],PROP,True,True,,
फच्चे,22,1,['फच'],PROP,True,True,,
ग़ैर,22,2,"['ग़', '़ै']",PROP,True,True,,
राहधानी,22,1,['हध'],PROP,True,True,,
शत्रुू,22,1,['ुू'],PROP,True,True,,
जञ्जालमा,22,1,['जञ'],PROP,True,True,,
बुझछन्,22,1,['झछ'],PROP,True,True,,
ह्याङआउट,22,1,['ङआ'],PROP,True,True,,
छिःछिः,22,1,['ःछ'],PROP,True,True,,
भएठाउँ,22,1,['एठ'],PROP,True,True,,
ऑनलाइन,22,1,['ऑन'],PROP,True,True,,
विशष,21,1,['शष'],PROP,True,True,,
ओचा,21,1,['ओच'],PROP,True,True,,
उझिन्डो,21,1,['उझ'],PROP,True,True,,
गर्नेु,21,1,['ेु'],PROP,True,True,,
छ्यासछ्यास्ती,21,1,['सछ'],PROP,True,True,,
छफफल,21,2,"['छफ', 'फफ']",PROP,True,True,,
साउथएशियन,21,1,['थए'],PROP,True,True,,
ओँठ,21,1,['ओँ'],PROP,True,True,,
पाँचऔँले,21,1,['चऔ'],PROP,True,True,,
अलऐनमा,21,1,['लऐ'],PROP,True,True,,
मझधारमा,21,1,['झध'],PROP,True,True,,
छओटा,21,1,['छओ'],PROP,True,True,,
जॉंच,20,2,"['जॉ', 'ॉं']",PROP,True,True,,
ल्यएको,20,1,['यए'],PROP,True,True,,
छुटृै,20,2,"['टृ', 'ृै']",PROP,True,True,,
लागउने,20,1,['गउ'],PROP,True,True,,
आशफोर्ड,20,1,['शफ'],PROP,True,True,,
भदौः,20,1,['ौः'],PROP,True,True,,
स्मरणीयछ,20,1,['यछ'],PROP,True,True,,
समयछ,20,1,['यछ'],PROP,True,True,,
युएफओ,20,1,['फओ'],PROP,True,True,,
सॉझ,20,2,"['सॉ', 'ॉझ']",PROP,True,True,,
विज्ञद्वारा,20,1,['ञद'],PROP,True,True,,
दक्षिणएशिया,20,1,['णए'],PROP,True,True,,
अन्तर्राष्टिूय,20,1,['िू'],PROP,True,True,,
भएा,20,1,['एा'],PROP,True,True,,
राजइच्छा,20,1,['जइ'],PROP,True,True,,
हरिऔन,20,1,['औन'],PROP,True,True,,
रोज़गार,20,1,['़ग'],PROP,True,True,,
पाठः,20,1,['ठः'],PROP,True,True,,
ऎतिहासिक,20,1,['ऎत'],PROP,True,True,,
ओदान,19,1,['ओद'],PROP,True,True,,
पर्यो्,19,1,['ो्'],PROP,True,True,,
लोडसेिडंग,19,1,['ेि'],PROP,True,True,,
लिंक्डइन,19,1,['डइ'],PROP,True,True,,
गृहषृष्ठ,19,2,"['षृ', 'हष']",PROP,True,True,,
बिचफाँटामा,19,1,['चफ'],PROP,True,True,,
रेणू,19,1,['णू'],PROP,True,True,,
ओषधि,19,1,['ओष'],PROP,True,True,,
ऐयर,19,1,['ऐय'],PROP,True,True,,
ऊजस्तै,19,1,['ऊज'],PROP,True,True,,
वर्षउमेर,19,1,['षउ'],PROP,True,True,,
पाँचऔले,19,1,['चऔ'],PROP,True,True,,
ओङ्दी,19,1,['ओङ'],PROP,True,True,,
एक्लैएक्लै,19,1,['ैए'],PROP,True,True,,
आेलीले,19,1,['आे'],PROP,True,True,,
गर्योि,19,1,['ोि'],PROP,True,True,,
अफठ्यारो,19,1,['फठ'],PROP,True,True,,
माघशुक्ल,19,1,['घश'],PROP,True,True,,
पूर्वऊर्जामन्त्री,19,1,['वऊ'],PROP,True,True,,
सऊदी,19,1,['सऊ'],PROP,True,True,,
तठस्थ,19,1,['तठ'],PROP,True,True,,
ओद्योगिक,18,1,['ओद'],PROP,True,True,,
बछौलीका,18,1,['बछ'],PROP,True,True,,
बछलाथ्व,18,1,['बछ'],PROP,True,True,,
रहष्य,18,1,['हष'],PROP,True,True,,
मेकओभर,18,1,['कओ'],PROP,True,True,,
ओषधी,18,1,['ओष'],PROP,True,True,,
ढृढ,18,1,['ढृ'],PROP,True,True,,
चापागांईले,18,1,['ंई'],PROP,True,True,,
पुनःथप,18,1,['ःथ'],PROP,True,True,,
लेखफाँट,18,1,['खफ'],PROP,True,True,,
घईले,18,1,['घई'],PROP,True,True,,
समझशक्ति,18,1,['झश'],PROP,True,True,,
गनेृ,17,1,['ेृ'],PROP,True,True,,
ऋद्धि,17,1,['ऋद'],PROP,True,True,,
आछामी,17,1,['आछ'],PROP,True,True,,
नारायणटारमा,17,1,['णट'],PROP,True,True,,
झङ्कृत,17,1,['झङ'],PROP,True,True,,
गछर्ौं,17,1,['्ौ'],PROP,True,True,,
सीओओ,17,1,['ओओ'],PROP,True,True,,
एफई,17,1,['फई'],PROP,True,True,,
औतार,17,1,['औत'],PROP,True,True,,
ओङ्छु,17,1,['ओङ'],PROP,True,True,,
माझफाँटमा,17,1,['झफ'],PROP,True,True,,
आेली,17,1,['आे'],PROP,True,True,,
जठराग्नि,17,1,['जठ'],PROP,True,True,,
षड़यन्त्र,17,1,['़य'],PROP,True,True,,
हौइन,17,1,['ौइ'],PROP,True,True,,
अओइले,17,1,['अओ'],PROP,True,True,,
ज्ञघ,17,1,['ञघ'],PROP,True,True,,
बषिर्या,16,1,['बष'],PROP,True,True,,
पढ़न,16,1,['़न'],PROP,True,True,,
अमेज़न,16,1,['़न'],PROP,True,True,,
लागउन,16,1,['गउ'],PROP,True,True,,
थूप्रै,16,1,['थू'],PROP,True,True,,
गर्नेुपर्ने,16,1,['ेु'],PROP,True,True,,
ऋद्धिबहादुर,16,1,['ऋद'],PROP,True,True,,
जॉन,16,2,"['जॉ', 'ॉन']",PROP,True,True,,
उशा,16,1,['उश'],PROP,True,True,,
शड्ढयामा,16,1,['शड'],PROP,True,True,,
झङ्कनाथ,16,1,['झङ'],PROP,True,True,,
युथफोर्सका,16,1,['थफ'],PROP,True,True,,
जञ्जाल,16,1,['जञ'],PROP,True,True,,
कतिपए,16,1,['पए'],PROP,True,True,,
हिजआज,16,1,['जआ'],PROP,True,True,,
ओङदी,16,1,['ओङ'],PROP,True,True,,
थिए्,16,1,['ए्'],PROP,True,True,,
भैईरहेको,16,1,['ैई'],PROP,True,True,,
माझफाल,16,1,['झफ'],PROP,True,True,,
ट्रेडथाई,16,1,['डथ'],PROP,True,True,,
तपाईलाईउल्लेखित,16,1,['ईउ'],PROP,True,True,,
गुइठा,16,1,['इठ'],PROP,True,True,,
माझखर्क,16,1,['झख'],PROP,True,True,,
आङङिमा,16,1,['ङङ'],PROP,True,True,,
ज्ञछ,16,1,['ञछ'],PROP,True,True,,
पॉंच,15,2,"['पॉ', 'ॉं']",PROP,True,True,,
जावफ,15,1,['वफ'],PROP,True,True,,
ग़लत,15,2,"['ग़', '़ल']",PROP,True,True,,
बीऊहरू,15,2,"['ऊह', 'ीऊ']",PROP,True,True,,
ओएन्डएम,15,1,['डए'],PROP,True,True,,
दाङः,15,1,['ङः'],PROP,True,True,,
त्यसछि,15,1,['सछ'],PROP,True,True,,
पढछु,15,1,['ढछ'],PROP,True,True,,
सहउत्पादन,15,1,['हउ'],PROP,True,True,,
हुन्छभने,15,1,['छभ'],PROP,True,True,,
सौफ,15,1,['ौफ'],PROP,True,True,,
विशेषखालको,15,1,['षख'],PROP,True,True,,
बर्न्टओक,15,1,['टओ'],PROP,True,True,,
अफशोच,15,1,['फश'],PROP,True,True,,
सहजढंगले,15,1,['जढ'],PROP,True,True,,
सञचालन,15,1,['ञच'],PROP,True,True,,
ज्ञठ,15,1,['ञठ'],PROP,True,True,,
औघोगिक,15,1,['औघ'],PROP,True,True,,
दुृई,15,1,['ृई'],PROP,True,True,,
विजयउत्सव,14,1,['यउ'],PROP,True,True,,
सेिडंग,14,1,['ेि'],PROP,True,True,,
आशफोर्डमा,14,1,['शफ'],PROP,True,True,,
सछ्वान,14,1,['सछ'],PROP,True,True,,
हिउङ,14,1,['उङ'],PROP,True,True,,
आछाम,14,1,['आछ'],PROP,True,True,,
दुखःद,14,1,['ःद'],PROP,True,True,,
शुक्राणू,14,1,['णू'],PROP,True,True,,
सामान्यझैँ,14,1,['यझ'],PROP,True,True,,
सुढृढ,14,1,['ढृ'],PROP,True,True,,
साउथएशिया,14,1,['थए'],PROP,True,True,,
अदुअआले,14,1,['अआ'],PROP,True,True,,
रामऔतार,14,2,"['औत', 'मऔ']",PROP,True,True,,
कोटथर,14,1,['टथ'],PROP,True,True,,
सिओओ,14,1,['ओओ'],PROP,True,True,,
ऊजस्तो,14,1,['ऊज'],PROP,True,True,,
अर्थः,14,1,['थः'],PROP,True,True,,
बुझछु,14,1,['झछ'],PROP,True,True,,
गणेशथान,14,1,['शथ'],PROP,True,True,,
माझखर्कमा,14,1,['झख'],PROP,True,True,,
माझखण्ड,14,1,['झख'],PROP,True,True,,
यज्ञोपवित,14,1,['ञो'],PROP,True,True,,
मझधार,14,1,['झध'],PROP,True,True,,
वायुऊर्जा,14,1,['ुऊ'],PROP,True,True,,
अलऐन,14,1,['लऐ'],PROP,True,True,,
उत्कृठ,14,1,['ृठ'],PROP,True,True,,
भऐको,14,1,['भऐ'],PROP,True,True,,
ऋक्,14,1,['ऋक'],PROP,True,True,,
सबओभरसियर,14,1,['बओ'],PROP,True,True,,
ग़ज़ल,13,3,"['ग़', '़ज', '़ल']",PROP,True,True,,
केन्ऽीय,13,2,"['ऽी', '्ऽ']",PROP,True,True,,
बठेइ,13,1,['बठ'],PROP,True,True,,
एफएओको,13,1,['एओ'],PROP,True,True,,
विशषेज्ञ,13,1,['शष'],PROP,True,True,,
हाछेथूले,13,1,['थू'],PROP,True,True,,
टेम्केमैयङु,13,1,['ङु'],PROP,True,True,,
क्रिकइन्फोले,13,1,['कइ'],PROP,True,True,,
पउने,13,1,['पउ'],PROP,True,True,,
माओेवादीसँग,13,1,['ओे'],PROP,True,True,,
झ्यापझ्याप,13,1,['पझ'],PROP,True,True,,
वाटशनले,13,1,['टश'],PROP,True,True,,
सामान्यझैं,13,1,['यझ'],PROP,True,True,,
अझ्ौ,13,1,['्ौ'],PROP,True,True,,
पएको,13,1,['पए'],PROP,True,True,,
प्रमुखअतिथि,13,1,['खअ'],PROP,True,True,,
वझा,13,1,['वझ'],PROP,True,True,,
मेटिूक,13,1,['िू'],PROP,True,True,,
बुझइएको,13,1,['झइ'],PROP,True,True,,
शङ्खघोष,13,1,['खघ'],PROP,True,True,,
ढुङ्गैढुङ्गा,13,1,['ैढ'],PROP,True,True,,
दक्षिणढोका,13,1,['णढ'],PROP,True,True,,
छठअघि,13,1,['ठअ'],PROP,True,True,,
सहईन्चार्ज,13,1,['हई'],PROP,True,True,,
जेठः,13,1,['ठः'],PROP,True,True,,
मातृऔंसी,13,1,['ृऔ'],PROP,True,True,,
धकधईमा,13,1,['धई'],PROP,True,True,,
बर्दघआट,13,1,['घआ'],PROP,True,True,,
भऱ्याङ,13,1,['भऱ'],PROP,True,True,,
प्रागऐतिहासिक,13,1,['गऐ'],PROP,True,True,,
ज्ञढ,13,1,['ञढ'],PROP,True,True,,
मध्यएसिया,12,1,['यए'],PROP,True,True,,
गउको,12,1,['गउ'],PROP,True,True,,
अउडी,12,1,['अउ'],PROP,True,True,,
सैघा,12,1,['ैघ'],PROP,True,True,,
लिङ्क्डइन,12,1,['डइ'],PROP,True,True,,
मोरङः,12,1,['ङः'],PROP,True,True,,
पाठइ्पुस्तक,12,2,"['इ्', 'ठइ']",PROP,True,True,,
देउशी,12,1,['उश'],PROP,True,True,,
फुटशल,12,1,['टश'],PROP,True,True,,
एडजष्ट,12,1,['जष'],PROP,True,True,,
बुझए,12,1,['झए'],PROP,True,True,,
अदुअआको,12,1,['अआ'],PROP,True,True,,
वाउछङ्सा,12,1,['छङ'],PROP,True,True,,
बौछार,12,1,['ौछ'],PROP,True,True,,
पूाजी,12,1,['ूा'],PROP,True,True,,
पुनःएकीकरण,12,1,['ःए'],PROP,True,True,,
छफलमा,12,1,['छफ'],PROP,True,True,,
यज्ञयज्ञादि,12,1,['ञय'],PROP,True,True,,
छौुं,12,1,['ौु'],PROP,True,True,,
प्रवेशआज्ञा,12,1,['शआ'],PROP,True,True,,
शुभफलदायी,12,1,['भफ'],PROP,True,True,,
दईवटा,12,1,['दई'],PROP,True,True,,
ह्यांगओभर,12,1,['गओ'],PROP,True,True,,
सहईञ्चार्ज,12,1,['हई'],PROP,True,True,,
भएो,12,1,['एो'],PROP,True,True,,
टेक्नोलॉजी,12,1,['ॉज'],PROP,True,True,,
घइते,12,1,['घइ'],PROP,True,True,,
आञ्चलिकताको,12,1,['आञ'],PROP,True,True,,
मकई,12,1,['कई'],PROP,True,True,,
ज्ञट,12,1,['ञट'],PROP,True,True,,
रकमऋण,12,1,['मऋ'],PROP,True,True,,
वर्षऔं,12,1,['षऔ'],PROP,True,True,,
सॉंच्चै,11,2,"['सॉ', 'ॉं']",PROP,True,True,,
